run,batch,src,relation,dst,domain,relation_family,confidence,reason,trace,rule,proof
hybrid_no_replay_decay,Batch 1 External Geo KGQA,India,CAPITAL_CONTINENT,Asia,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_001,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia
hybrid_no_replay_decay,Batch 1 External Geo KGQA,France,CAPITAL_CONTINENT,Europe,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_002,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_003,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_004,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_005,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_006,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_007,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania
hybrid_no_replay_decay,Batch 1 External Geo KGQA,United States,CAPITAL_CONTINENT,North America,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_008,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_009,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_010,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa
hybrid_no_replay_decay,Batch 1 External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,external_geo_kgqa,NEARTO,0.8,accepted,external_geo_trace_011,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT",Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America
