run,relation,domain,relation_family,confidence,importance,absorbed,active,use_count,replay_count,provenance,proof,rule_id
hybrid_with_replay,India --CAPITAL_CONTINENT--> Asia,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_001,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,France --CAPITAL_CONTINENT--> Europe,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_002,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Japan --CAPITAL_CONTINENT--> Asia,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_003,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Canada --CAPITAL_CONTINENT--> North America,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_004,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Brazil --CAPITAL_CONTINENT--> South America,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_005,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Egypt --CAPITAL_CONTINENT--> Africa,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_006,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Australia --CAPITAL_CONTINENT--> Oceania,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_007,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,United States --CAPITAL_CONTINENT--> North America,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_008,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Germany --CAPITAL_CONTINENT--> Europe,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_009,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Kenya --CAPITAL_CONTINENT--> Africa,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_010,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Mexico --CAPITAL_CONTINENT--> North America,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_011,Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Argentina --CAPITAL_CONTINENT--> South America,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_012,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,South Korea --CAPITAL_CONTINENT--> Asia,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_013,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Italy --CAPITAL_CONTINENT--> Europe,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_014,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_with_replay,Nigeria --CAPITAL_CONTINENT--> Africa,external_geo_kgqa,NEARTO,0.8,2.08,True,True,10,4,learned_from_trace:external_geo_trace_015,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
