run,query_symbols,retrieved_key,score,edge,domain,relation_family,active
hybrid_no_replay_decay,India + CAPITAL_CONTINENT + Asia,India-HAS_CAPITAL-New Delhi,0.2139,India --HAS_CAPITAL--> New Delhi,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,India + CAPITAL_CONTINENT + Asia,Seoul-LOCATED_IN-Asia,0.1436,Seoul --LOCATED_IN--> Asia,external_geo,CONTAINS,True
hybrid_no_replay_decay,India + CAPITAL_CONTINENT + Asia,New Delhi-LOCATED_IN-Asia,0.1226,New Delhi --LOCATED_IN--> Asia,external_geo,CONTAINS,True
hybrid_no_replay_decay,France + CAPITAL_CONTINENT + Europe,France-HAS_CAPITAL-Paris,0.1924,France --HAS_CAPITAL--> Paris,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,France + CAPITAL_CONTINENT + Europe,Rome-LOCATED_IN-Europe,0.1455,Rome --LOCATED_IN--> Europe,external_geo,CONTAINS,True
hybrid_no_replay_decay,France + CAPITAL_CONTINENT + Europe,Berlin-LOCATED_IN-Europe,0.1431,Berlin --LOCATED_IN--> Europe,external_geo,CONTAINS,True
hybrid_no_replay_decay,Japan + CAPITAL_CONTINENT + Asia,Japan-HAS_CAPITAL-Tokyo,0.2119,Japan --HAS_CAPITAL--> Tokyo,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Japan + CAPITAL_CONTINENT + Asia,Seoul-LOCATED_IN-Asia,0.1353,Seoul --LOCATED_IN--> Asia,external_geo,CONTAINS,True
hybrid_no_replay_decay,Japan + CAPITAL_CONTINENT + Asia,Tokyo-LOCATED_IN-Asia,0.1108,Tokyo --LOCATED_IN--> Asia,external_geo,CONTAINS,True
hybrid_no_replay_decay,Canada + CAPITAL_CONTINENT + North America,Canada-HAS_CAPITAL-Ottawa,0.1909,Canada --HAS_CAPITAL--> Ottawa,external_geo,EXPRESSES_PROPERTY,True
